"date","sessions","goal1.completions","goal2.completions","goal3.completions"
2012-01-01,19,3,0,0
2012-01-02,110,14,0,2
2012-01-03,113,13,0,2
2012-01-04,95,11,0,1
2012-01-05,104,6,0,2
2012-01-06,44,3,0,0
2012-01-07,41,5,1,1
2012-01-08,32,3,0,0
2012-01-09,141,17,0,2
2012-01-10,135,15,1,1
2012-01-11,156,11,0,3
2012-01-12,183,15,0,3
2012-01-13,154,14,0,1
2012-01-14,50,1,0,0
2012-01-15,49,0,0,0
2012-01-16,189,11,1,0
2012-01-17,144,5,0,0
2012-01-18,158,9,0,0
2012-01-19,153,7,1,0
2012-01-20,108,8,2,1
2012-01-21,47,4,0,0
2012-01-22,55,3,0,0
2012-01-23,132,9,1,2
2012-01-24,281,26,0,4
2012-01-25,171,13,0,1
2012-01-26,189,21,0,4
2012-01-27,166,24,1,2
2012-01-28,58,2,0,0
2012-01-29,62,3,0,0
2012-01-30,262,32,1,2
2012-01-31,249,21,1,2
2012-02-01,213,17,0,1
2012-02-02,143,12,0,0
2012-02-03,112,7,0,1
2012-02-04,64,4,0,0
2012-02-05,48,5,0,0
2012-02-06,152,12,1,3
2012-02-07,205,18,1,2
2012-02-08,157,22,1,1
2012-02-09,142,13,2,1
2012-02-10,109,9,0,0
2012-02-11,55,12,0,1
2012-02-12,63,5,0,0
2012-02-13,185,16,0,2
2012-02-14,195,28,0,2
2012-02-15,149,21,0,0
2012-02-16,200,12,1,3
2012-02-17,125,12,1,3
2012-02-18,55,4,0,0
2012-02-19,45,4,1,0
2012-02-20,143,16,0,1
2012-02-21,203,12,1,0
2012-02-22,148,11,0,0
2012-02-23,171,13,1,1
2012-02-24,93,10,0,0
2012-02-25,39,7,0,1
2012-02-26,51,3,0,1
2012-02-27,137,11,0,1
2012-02-28,296,15,0,3
2012-02-29,431,17,0,5
2012-03-01,266,19,0,3
2012-03-02,202,5,0,0
2012-03-03,89,4,0,2
2012-03-04,98,11,0,1
2012-03-05,228,20,0,1
2012-03-06,161,9,0,0
2012-03-07,249,17,1,2
2012-03-08,177,15,2,1
2012-03-09,120,11,0,1
2012-03-10,64,4,0,0
2012-03-11,59,3,0,1
2012-03-12,193,17,0,0
2012-03-13,180,12,0,2
2012-03-14,276,24,0,5
2012-03-15,174,12,0,2
2012-03-16,175,15,1,1
2012-03-17,58,7,0,1
2012-03-18,72,5,1,0
2012-03-19,134,13,0,1
2012-03-20,175,21,0,4
2012-03-21,170,12,0,2
2012-03-22,157,17,0,1
2012-03-23,160,21,0,4
